epoch,timestamp,train_loss,train_cce,train_contrastive,val_loss,val_cce,val_contrastive,val_acc,val_eer
0,29/08/2025 00:11,0.20264676311900992,0.05983748655569325,1.4280927401649566,0.16373696082021674,0.0018919590125096757,1.6184499874708638,99.93157301561745,0.16373696082021674
1,29/08/2025 01:22,0.14170672261604556,0.002701573560059474,1.3900514659306682,0.16275165125432559,0.0010987280926025576,1.6165292014526373,99.95572371598776,0.16275165125432559
2,29/08/2025 02:32,0.14036711839954621,0.00130212653353647,1.3906498932645863,0.16283396746308892,0.0014613952232585923,1.6137256902799844,99.96779906617293,0.16283396746308892
3,29/08/2025 03:43,0.14134149852526573,0.0025258345164440267,1.3881566153092117,0.16245223963556707,0.0010405339547013726,1.6141170268640523,99.95572371598776,0.16245223963556707
4,29/08/2025 04:53,0.14051034126997322,0.0014166834121123284,1.3909365535721805,0.1621932547942531,0.0009765370813965837,1.612167142519934,99.96377394944453,0.1621932547942531
5,29/08/2025 06:04,0.1406544355427519,0.001790735578939267,1.388636974895254,0.16268901277595607,0.0014381591346598686,1.6125085074085677,99.95572371598776,0.16268901277595607
6,29/08/2025 07:14,0.13998966596116458,0.0009846554050186073,1.3900500806158598,0.161588750904085,0.0005232612962070249,1.6106548637506792,99.98389953308646,0.161588750904085
7,29/08/2025 08:24,0.13872083162021412,1.2779928898255111e-05,1.3870804912702035,0.16175337024231,0.0005682368514528129,1.611851298145445,99.98389953308646,0.16175337024231
8,29/08/2025 09:35,0.1390554243588631,0.00027457097236930137,1.3878085066170276,0.16626426172380507,0.0043120646966953256,1.6195219375746124,99.92754789888907,0.16626426172380507
9,29/08/2025 10:46,0.14027822541529453,0.0012641831348409254,1.3901404001235587,0.16188073318047985,0.0006958547768814556,1.611848753470477,99.98792464981484,0.16188073318047985
10,29/08/2025 11:56,0.1397056626838502,0.0007887808467327325,1.389168792746967,0.16269001435333116,0.0013032388437367356,1.613867721680358,99.96779906617293,0.16269001435333116
